provincia;anio;mes_numero;mes;precipitacion_total_mm;precipitacion_promedio_mm;precipitacion_maxima_mm;dias_con_lluvia
Cartago;2021;7;Julio;440.0;14.19;98.0;29
Cartago;2021;8;Agosto;362.6;11.7;78.5;30
Cartago;2021;9;Setiembre;176.5;5.88;49.4;30
Cartago;2021;10;Octubre;284.1;9.16;74.9;29
Cartago;2021;11;Noviembre;169.5;5.65;26.2;27
Cartago;2021;12;Diciembre;65.2;2.1;12.6;25
Cartago;2022;1;Enero;18.0;0.58;5.3;16
Cartago;2022;2;Febrero;18.1;0.65;6.7;13
Cartago;2022;3;Marzo;29.4;0.95;8.9;21
Cartago;2022;4;Abril;188.1;6.27;30.0;25
Cartago;2022;5;Mayo;247.0;7.97;37.7;31
Cartago;2022;6;Junio;324.4;10.81;38.4;30
Cartago;2022;7;Julio;136.3;4.4;39.4;30
Cartago;2022;8;Agosto;186.7;6.02;36.5;30
Cartago;2022;9;Setiembre;304.4;10.15;36.4;30
Cartago;2022;10;Octubre;227.7;7.35;41.3;30
Cartago;2022;11;Noviembre;257.0;8.57;37.6;30
Cartago;2022;12;Diciembre;33.5;1.08;6.0;25
Cartago;2023;1;Enero;49.7;1.6;17.9;23
Cartago;2023;2;Febrero;15.6;0.56;2.3;18
Cartago;2023;3;Marzo;80.7;2.6;25.3;24
Cartago;2023;4;Abril;13.8;0.46;2.9;25
Cartago;2023;5;Mayo;154.5;4.98;27.1;27
Cartago;2023;6;Junio;120.8;4.03;19.7;30
Cartago;2023;7;Julio;165.3;5.33;50.7;31
Cartago;2023;8;Agosto;233.2;7.52;86.6;30
Cartago;2023;9;Setiembre;48.6;1.62;6.8;30
Cartago;2023;10;Octubre;301.6;9.73;28.6;31
Cartago;2023;11;Noviembre;302.9;10.1;49.3;29
Cartago;2023;12;Diciembre;70.5;2.27;9.2;25
Cartago;2024;1;Enero;7.5;0.24;1.5;15
Cartago;2024;2;Febrero;49.3;1.7;27.3;19
Cartago;2024;3;Marzo;11.9;0.38;2.2;14
Cartago;2024;4;Abril;49.7;1.66;8.8;23
Cartago;2024;5;Mayo;182.4;5.88;32.1;31
Cartago;2024;6;Junio;314.7;10.49;31.3;30
Cartago;2024;7;Julio;138.3;4.46;38.4;31
Cartago;2024;8;Agosto;173.9;5.61;32.7;30
Cartago;2024;9;Setiembre;200.4;6.68;25.9;29
Cartago;2024;10;Octubre;308.3;9.95;52.1;31
Cartago;2024;11;Noviembre;715.6;23.85;71.4;30
Cartago;2024;12;Diciembre;322.1;10.39;61.1;30
Guanacaste;2018;1;Enero;10.0;0.32;4.3;9
Guanacaste;2018;2;Febrero;2.8;0.1;1.7;3
Guanacaste;2018;3;Marzo;0.0;0.0;0.0;0
Guanacaste;2018;4;Abril;37.2;1.24;11.6;19
Guanacaste;2018;5;Mayo;296.5;9.56;34.8;30
Guanacaste;2018;6;Junio;366.5;12.22;83.5;30
Guanacaste;2018;7;Julio;90.6;2.92;17.4;26
Guanacaste;2018;8;Agosto;146.3;4.72;46.9;29
Guanacaste;2018;9;Setiembre;279.6;9.32;20.5;30
Guanacaste;2018;10;Octubre;729.8;23.54;135.5;30
Guanacaste;2018;11;Noviembre;63.0;2.1;8.3;26
Guanacaste;2018;12;Diciembre;3.5;0.11;0.9;9
Guanacaste;2019;1;Enero;0.3;0.01;0.2;2
Guanacaste;2019;2;Febrero;0.0;0.0;0.0;0
Guanacaste;2019;3;Marzo;2.7;0.09;0.8;4
Guanacaste;2019;4;Abril;24.8;0.83;4.9;14
Guanacaste;2019;5;Mayo;498.5;16.08;71.9;31
Guanacaste;2019;6;Junio;242.4;8.08;38.0;26
Guanacaste;2019;7;Julio;46.9;1.51;14.3;25
Guanacaste;2019;8;Agosto;135.3;4.36;19.4;22
Guanacaste;2019;9;Setiembre;307.0;10.23;38.4;28
Guanacaste;2019;10;Octubre;472.1;15.23;56.8;31
Guanacaste;2019;11;Noviembre;74.6;2.49;11.9;25
Guanacaste;2019;12;Diciembre;67.1;2.16;33.9;16
Guanacaste;2020;1;Enero;14.8;0.48;6.0;10
Guanacaste;2020;2;Febrero;1.1;0.04;0.6;3
Guanacaste;2020;3;Marzo;1.9;0.06;0.6;7
Guanacaste;2020;4;Abril;31.6;1.05;7.9;16
Guanacaste;2020;5;Mayo;372.3;12.01;102.1;26
